2019-11-04 15:30:17 - [Debug] Book Information{Name: 专使, Author: [美] 亨利·詹姆斯, AuthorIntroduction: , Press: 漓江出版社, BriefIntroduction: , Translator: 王理行, PageNum: 536, Price: 56.000000, ISBN: 9787540784447, DoubanScore: 8.400000, CommentNum: 20}
2019-11-04 15:30:18 - [Debug] Book Information{Name: 金钵记, Author: [美] 亨利·詹姆斯, AuthorIntroduction: , Press: 上海文艺出版社, BriefIntroduction: , Translator: Henry James, PageNum: 560, Price: 0.000000, ISBN: 9787532163328, DoubanScore: 7.600000, CommentNum: 46}
2019-11-04 15:30:19 - [Debug] Book Information{Name: 原来如此的故事, Author: 南方, AuthorIntroduction: , Press: 人民文学出版社, BriefIntroduction: , Translator: , PageNum: 208, Price: 0.000000, ISBN: 9787020112142, DoubanScore: 8.700000, CommentNum: 18}
2019-11-04 15:30:19 - [Debug] Book Information{Name: 黎明前说我爱你, Author: [匈]彼得·加尔多什, AuthorIntroduction: , Press: 人民文学出版社, BriefIntroduction: , Translator: 李晨, PageNum: 236, Price: 0.000000, ISBN: 9787020148561, DoubanScore: 8.800000, CommentNum: 12}
2019-11-04 15:30:20 - [Debug] Book Information{Name: 花斑猫与燕子西尼娅, Author: [巴西]若热·亚马多 著, AuthorIntroduction: , Press: 人民文学出版社, BriefIntroduction: , Translator: [巴西]卡里贝 绘, PageNum: 132, Price: 39.000000, ISBN: 9787020135110, DoubanScore: 0.000000, CommentNum: 0}
2019-11-04 15:30:22 - [Debug] Book Information{Name: 星辰时刻, Author: 闵雪飞, AuthorIntroduction: , Press: 99读书人/上海文艺出版社, BriefIntroduction: , Translator: , PageNum: 94, Price: 18.000000, ISBN: 9787532150366, DoubanScore: 8.600000, CommentNum: 1131}
2019-11-04 15:30:23 - [Debug] Book Information{Name: 隐秘的幸福, Author: 闵雪飞, AuthorIntroduction: , Press: 上海文艺出版社, BriefIntroduction: , Translator: , PageNum: 163, Price: 25.000000, ISBN: 9787532160051, DoubanScore: 8.200000, CommentNum: 508}
2019-11-04 15:30:25 - [Debug] Book Information{Name: 两个故事, Author: , AuthorIntroduction: , Press: 漓江出版社, BriefIntroduction: , Translator: , PageNum: 128, Price: 0.000000, ISBN: 9787540775407, DoubanScore: 8.400000, CommentNum: 271}
2019-11-04 15:30:27 - [Debug] Book Information{Name: 在世遗作, Author: , AuthorIntroduction: , Press: 漓江出版社, BriefIntroduction: , Translator: , PageNum: 156, Price: 0.000000, ISBN: 9787540775704, DoubanScore: 7.900000, CommentNum: 149}
2019-11-04 15:30:28 - [Debug] Book Information{Name: 文艺杂谈, Author: [法]保罗·瓦莱里, AuthorIntroduction: , Press: 生活·读书·新知三联书店, BriefIntroduction: , Translator: 段映虹, PageNum: 404, Price: 48.000000, ISBN: 9787108056559, DoubanScore: 8.900000, CommentNum: 100}
2019-11-04 15:30:29 - [Debug] Book Information{Name: 马拉美, Author: 曹丹红, AuthorIntroduction: , Press: 河南大学出版社, BriefIntroduction: , Translator: , PageNum: 194, Price: 0.000000, ISBN: 9787564926960, DoubanScore: 8.800000, CommentNum: 109}
2019-11-04 15:30:31 - [Debug] Book Information{Name: 泥淖之子, Author: [墨西哥] 奥克塔维奥·帕斯, AuthorIntroduction: , Press: 广西人民出版社, BriefIntroduction: , Translator: 陈东飚, PageNum: 272, Price: 0.000000, ISBN: 9787219103395, DoubanScore: 9.200000, CommentNum: 81}
2019-11-04 15:30:32 - [Debug] Book Information{Name: 希尼三十年文选, Author: [爱尔兰] 谢默斯·希尼, AuthorIntroduction: , Press: 浙江文艺出版社, BriefIntroduction: , Translator: 黄灿然, PageNum: 550, Price: 89.000000, ISBN: 9787533949600, DoubanScore: 9.300000, CommentNum: 178}
2019-11-04 15:30:33 - [Debug] Book Information{Name: 踏脚石, Author: [爱尔兰]谢默斯·希尼, AuthorIntroduction: , Press: 广西人民出版社, BriefIntroduction: , Translator: [爱尔兰]丹尼斯·奥德里斯科尔, PageNum: 730, Price: 128.000000, ISBN: 9787219106426, DoubanScore: 8.700000, CommentNum: 44}
2019-11-04 15:30:35 - [Debug] Book Information{Name: 开垦地, Author: 黄灿然, AuthorIntroduction: , Press: 广西人民出版社, BriefIntroduction: , Translator: , PageNum: 720, Price: 118.000000, ISBN: 9787219103555, DoubanScore: 8.700000, CommentNum: 84}
2019-11-04 15:30:36 - [Debug] Book Information{Name: 人之链, Author: 王敖, AuthorIntroduction: , Press: 广西人民出版社, BriefIntroduction: , Translator: , PageNum: 144, Price: 38.000000, ISBN: 9787219098691, DoubanScore: 8.700000, CommentNum: 236}
2019-11-04 15:30:38 - [Debug] Book Information{Name: 电灯光, Author: 杨铁军, AuthorIntroduction: , Press: 广西人民出版社, BriefIntroduction: , Translator: , PageNum: 152, Price: 0.000000, ISBN: 9787219097601, DoubanScore: 8.800000, CommentNum: 200}
2019-11-04 15:30:40 - [Debug] Book Information{Name: 区线与环线, Author: 雷武铃, AuthorIntroduction: , Press: 广西人民出版社, BriefIntroduction: , Translator: , PageNum: 144, Price: 38.000000, ISBN: 9787219098707, DoubanScore: 8.800000, CommentNum: 163}
2019-11-04 15:30:41 - [Debug] Book Information{Name: 林间空地, Author: 杨铁军, AuthorIntroduction: , Press: 上海文艺出版社, BriefIntroduction: , Translator: , PageNum: 632, Price: 66.000000, ISBN: 9787532155620, DoubanScore: 8.300000, CommentNum: 198}
2019-11-04 15:30:43 - [Debug] Book Information{Name: 无止境, Author: 李以亮, AuthorIntroduction: , Press: 花城出版社, BriefIntroduction: , Translator: , PageNum: 396, Price: 0.000000, ISBN: 9787536075191, DoubanScore: 8.000000, CommentNum: 169}
2019-11-04 15:30:44 - [Debug] Book Information{Name: 另一种美, Author: 李以亮, AuthorIntroduction: , Press: 花城出版社, BriefIntroduction: , Translator: , PageNum: 236, Price: 0.000000, ISBN: 9787536083929, DoubanScore: 9.100000, CommentNum: 133}
2019-11-04 15:30:46 - [Debug] Book Information{Name: 站在人这边, Author: (波)切斯瓦夫·米沃什, AuthorIntroduction: , Press: 广西师范大学出版社, BriefIntroduction: , Translator: 黄灿然, PageNum: 544, Price: 0.000000, ISBN: 9787559813800, DoubanScore: 8.800000, CommentNum: 103}
2019-11-04 15:30:47 - [Debug] Book Information{Name: 猎人的一年, Author: (波兰) 切斯瓦夫·米沃什, AuthorIntroduction: , Press: 广西师范大学出版社, BriefIntroduction: , Translator: 李以亮, PageNum: 480, Price: 0.000000, ISBN: 9787559813794, DoubanScore: 8.000000, CommentNum: 48}
2019-11-04 15:30:48 - [Debug] Book Information{Name: 布罗茨基谈话录, Author: [美] 约瑟夫·布罗茨基, AuthorIntroduction: , Press: 作家出版社, BriefIntroduction: , Translator: 所罗门·沃尔科夫, PageNum: 302, Price: 0.000000, ISBN: 9787521202267, DoubanScore: 8.800000, CommentNum: 77}
2019-11-04 15:30:49 - [Debug] Book Information{Name: 最后的对话 Ⅰ, Author: [阿根廷] 豪尔赫·路易斯·博尔赫斯, AuthorIntroduction: , Press: 新星出版社, BriefIntroduction: , Translator: [阿根廷] 奥斯瓦尔多·费拉里, PageNum: 448, Price: 58.000000, ISBN: 9787513329217, DoubanScore: 8.400000, CommentNum: 278}
2019-11-04 15:30:51 - [Debug] Book Information{Name: 最后的对话 Ⅱ, Author: [阿根廷] 豪尔赫·路易斯·博尔赫斯, AuthorIntroduction: , Press: 新星出版社, BriefIntroduction: , Translator: [阿根廷] 奥斯瓦尔多·费拉里, PageNum: 448, Price: 58.000000, ISBN: 9787513329224, DoubanScore: 8.700000, CommentNum: 181}
2019-11-04 15:30:53 - [Debug] Book Information{Name: 和博尔赫斯在一起, Author: [加拿大]阿尔维托·曼古埃尔, AuthorIntroduction: , Press: 南京大学出版社, BriefIntroduction: , Translator: 李卓群, PageNum: 120, Price: 35.000000, ISBN: 9787305218668, DoubanScore: 8.800000, CommentNum: 159}
2019-11-04 15:30:53 - [Debug] Book Information{Name: 不只是简·奥斯汀, Author: [美]谢莉·德威斯, AuthorIntroduction: , Press: 南京大学出版社, BriefIntroduction: , Translator: 史敏, PageNum: 388, Price: 0.000000, ISBN: 9787305218309, DoubanScore: 8.400000, CommentNum: 29}
2019-11-04 15:30:53 - [Debug] Book Information{Name: , Author: , AuthorIntroduction: , Press: , BriefIntroduction: , Translator: , PageNum: 0, Price: 0.000000, ISBN: , DoubanScore: 0.000000, CommentNum: 0}
